Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
MLP (64-64),mlp,0.5,1.0,5,0.668,0.4255,0.0461,0.6452,0.1869,0.6024,0.1764,0.1088,0.6559,0.0278,0.3668,0.081,True
MLP (64-64),mlp,0.75,0.0,5,0.6818,0.545,0.2429,0.7021,0.1757,0.5919,0.2579,0.1057,0.6672,0.2909,0.4121,0.049,True
MLP (64-64),mlp,0.75,0.005,5,0.6818,0.545,0.2429,0.7021,0.1757,0.5919,0.2473,0.1056,0.6672,0.2909,0.4121,0.048,True
MLP (64-64),mlp,0.75,0.05,5,0.681,0.5434,0.2436,0.6991,0.1734,0.583,0.2961,0.1051,0.668,0.3081,0.4194,0.049,True
MLP (64-64),mlp,0.75,0.25,5,0.6745,0.5074,0.1959,0.6535,0.179,0.5895,0.2844,0.1045,0.668,0.2483,0.4032,0.048,True
MLP (64-64),mlp,0.75,0.5,5,0.6704,0.4599,0.1203,0.6774,0.1836,0.5968,0.2405,0.1068,0.6567,0.14,0.3789,0.054,True
MLP (64-64),mlp,0.75,0.75,5,0.6713,0.4808,0.0543,0.725,0.1702,0.5571,0.2159,0.104,0.6599,0.0458,0.4291,0.055,True
MLP (64-64),mlp,0.75,1.0,5,0.6615,0.4108,0.1368,0.5471,0.2107,0.664,0.173,0.1114,0.6632,0.1465,0.3077,0.044,True
MLP (64-64),mlp,1.0,0.0,5,0.6785,0.5401,0.2848,0.6991,0.1811,0.6032,0.302,0.1091,0.6688,0.3213,0.3927,0.077,True
MLP (64-64),mlp,1.0,0.005,5,0.6785,0.5401,0.2848,0.6991,0.1811,0.6032,0.302,0.1091,0.6688,0.3213,0.3927,0.078,True
MLP (64-64),mlp,1.0,0.05,5,0.6785,0.5401,0.2848,0.6991,0.1811,0.6032,0.302,0.1091,0.6688,0.3213,0.3927,0.076,True
MLP (64-64),mlp,1.0,0.25,5,0.6785,0.5401,0.2848,0.6991,0.1811,0.6032,0.302,0.1091,0.6688,0.3213,0.3927,0.074,True
MLP (64-64),mlp,1.0,0.5,5,0.6785,0.5401,0.2848,0.6991,0.1811,0.6032,0.302,0.1091,0.6688,0.3213,0.3927,0.079,True
MLP (64-64),mlp,1.0,0.75,5,0.6785,0.5401,0.2848,0.6991,0.1811,0.6032,0.302,0.1091,0.6688,0.3213,0.3927,0.076,True
MLP (64-64),mlp,1.0,1.0,5,0.6785,0.5401,0.2848,0.6991,0.1811,0.6032,0.302,0.1091,0.6688,0.3213,0.3927,0.074,True
