preprocessing,seed,epsilon,n_train,n_test,n_features,adult_rows,protected_attribute_in_X,estimator,constraint,randomized_prediction_metric,implementation,error,accuracy,hard_accuracy,paper_dp_violation,fairlearn_dpd,n_predictors,n_oracle_calls,best_gap,status,warning
preserve_missing,2,0.1,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.1505723554611949,0.8494276445388051,0.8487429366964213,0.09544436680546811,0.12439692851440987,2,32,0.0,ok,
preserve_missing,2,0.1,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.1506464675953447,0.8493535324046553,0.8486610433215953,0.09549158645709281,0.12402833286383855,2,32,0.0,ok,
preserve_missing,3,0.001,36631,12211,107,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.16730704457759638,0.8326929554224036,0.8344934894767013,0.0026323574528760996,0.011767784672378157,2,20,8.040790255847696e-14,ok,
preserve_missing,3,0.001,36631,12211,107,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.16736373740476432,0.8326362625952357,0.8344115961018753,0.002534422482943499,0.011521175547840545,2,23,5.662137425588298e-15,ok,
preserve_missing,3,0.0031622776601683794,36631,12211,107,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.166598943550193,0.833401056449807,0.8344934894767013,0.004688233806871611,0.011767784672378157,2,20,1.942890293094024e-16,ok,
preserve_missing,3,0.0031622776601683794,36631,12211,107,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.16657226831382468,0.8334277316861753,0.8344115961018753,0.0046793412732090145,0.011275957303603173,2,23,2.220446049250313e-16,ok,
preserve_missing,3,0.01,36631,12211,107,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.16467734697272537,0.8353226530272746,0.8344115961018753,0.011370895788887336,0.011275957303603173,2,23,0.0,ok,
preserve_missing,3,0.01,36631,12211,107,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.16463073701458372,0.8353692629854162,0.8344934894767013,0.011386888713792898,0.011398566425721873,2,23,1.6093256352711638e-05,ok,
preserve_missing,3,0.03162277660168379,36631,12211,107,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.1599152407280466,0.8400847592719534,0.8371140774711325,0.034003372682317484,0.02997513347915401,2,23,0.0001429805185737265,ok,
preserve_missing,3,0.03162277660168379,36631,12211,107,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.16023449375329685,0.8397655062467031,0.8372778642207845,0.033592352896317096,0.029360696988260354,2,23,0.00013442858665074775,ok,
