Alpha,Beta,Group Fairness,Individual Fairness,Accuracy,Demographic Parity Difference,Equalized Odds Difference,Theil Index,Gini Coefficient,Train Time (s),Trained This Run
0.0,1.0,demographic_parity_difference,generalized_entropy_index,0.35,0.02,0.03,0.06,0.12,0.227,True
0.0,1.0,demographic_parity_difference,atkinson_index,0.52,0.02,0.17,0.16,0.54,0.227,True
0.0,1.0,demographic_parity_difference,gini_coefficient,0.4,0.2,0.23,0.13,0.36,0.227,True
0.0,1.0,equalized_odds_difference,theil_index,0.43,0.08,0.22,0.18,0.49,0.38,True
0.0,1.0,equalized_odds_difference,generalized_entropy_index,0.68,0.0,0.11,0.22,0.89,0.401,True
0.0,1.0,equalized_odds_difference,atkinson_index,0.64,0.02,0.06,0.17,0.66,0.381,True
0.0,1.0,equalized_odds_difference,gini_coefficient,0.35,0.08,0.09,0.18,0.44,0.386,True
0.0,1.0,equal_opportunity_difference,theil_index,0.65,0.21,0.24,0.24,0.9,0.3,True
0.0,1.0,equal_opportunity_difference,generalized_entropy_index,0.61,0.0,0.09,0.19,0.7,0.296,True
0.0,1.0,equal_opportunity_difference,atkinson_index,0.47,0.28,0.48,0.09,0.28,0.29,True
0.0,1.0,equal_opportunity_difference,gini_coefficient,0.7,0.12,0.16,0.16,0.75,0.292,True
0.0,1.0,disparate_impact_difference,theil_index,0.48,0.05,0.38,0.15,0.48,0.229,True
0.0,1.0,disparate_impact_difference,generalized_entropy_index,0.57,0.31,0.33,0.17,0.6,0.228,True
0.0,1.0,disparate_impact_difference,atkinson_index,0.3,0.06,0.14,0.09,0.17,0.23,True
0.0,1.0,disparate_impact_difference,gini_coefficient,0.42,0.11,0.25,0.16,0.44,0.233,True
0.005,0.0,demographic_parity_difference,theil_index,0.7,0.0,0.0,0.21,,0.225,True
0.005,0.0,demographic_parity_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.223,True
0.005,0.0,demographic_parity_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.224,True
0.005,0.0,demographic_parity_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.232,True
0.005,0.0,equalized_odds_difference,theil_index,0.7,0.0,0.0,0.21,,0.38,True
0.005,0.0,equalized_odds_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.373,True
0.005,0.0,equalized_odds_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.378,True
0.005,0.0,equalized_odds_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.379,True
0.005,0.0,equal_opportunity_difference,theil_index,0.7,0.0,0.0,0.21,,0.284,True
0.005,0.0,equal_opportunity_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.283,True
0.005,0.0,equal_opportunity_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.289,True
0.005,0.0,equal_opportunity_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.288,True
0.005,0.0,disparate_impact_difference,theil_index,0.7,0.0,0.0,0.21,,0.224,True
0.005,0.0,disparate_impact_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.229,True
0.005,0.0,disparate_impact_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.225,True
0.005,0.0,disparate_impact_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.23,True
0.005,0.005,demographic_parity_difference,theil_index,0.7,0.0,0.0,0.21,,0.227,True
0.005,0.005,demographic_parity_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.23,True
0.005,0.005,demographic_parity_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.223,True
0.005,0.005,demographic_parity_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.227,True
0.005,0.005,equalized_odds_difference,theil_index,0.7,0.0,0.0,0.21,,0.373,True
0.005,0.005,equalized_odds_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.381,True
0.005,0.005,equalized_odds_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.377,True
0.005,0.005,equalized_odds_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.384,True
0.005,0.005,equal_opportunity_difference,theil_index,0.7,0.0,0.0,0.21,,0.284,True
0.005,0.005,equal_opportunity_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.286,True
0.005,0.005,equal_opportunity_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.288,True
0.005,0.005,equal_opportunity_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.29,True
0.005,0.005,disparate_impact_difference,theil_index,0.7,0.0,0.0,0.21,,0.228,True
0.005,0.005,disparate_impact_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.234,True
0.005,0.005,disparate_impact_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.23,True
0.005,0.005,disparate_impact_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.227,True
0.005,0.05,demographic_parity_difference,theil_index,0.7,0.0,0.0,0.21,,0.228,True
0.005,0.05,demographic_parity_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.229,True
0.005,0.05,demographic_parity_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.223,True
0.005,0.05,demographic_parity_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.226,True
0.005,0.05,equalized_odds_difference,theil_index,0.7,0.0,0.0,0.21,,0.379,True
0.005,0.05,equalized_odds_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.382,True
0.005,0.05,equalized_odds_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.372,True
0.005,0.05,equalized_odds_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.384,True
0.005,0.05,equal_opportunity_difference,theil_index,0.7,0.0,0.0,0.21,,0.29,True
0.005,0.05,equal_opportunity_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.288,True
0.005,0.05,equal_opportunity_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.288,True
0.005,0.05,equal_opportunity_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.29,True
0.005,0.05,disparate_impact_difference,theil_index,0.7,0.0,0.0,0.21,,0.222,True
0.005,0.05,disparate_impact_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.225,True
0.005,0.05,disparate_impact_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.229,True
0.005,0.05,disparate_impact_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.233,True
0.005,0.25,demographic_parity_difference,theil_index,0.7,0.0,0.0,0.21,,0.227,True
0.005,0.25,demographic_parity_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.225,True
0.005,0.25,demographic_parity_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.225,True
0.005,0.25,demographic_parity_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.226,True
0.005,0.25,equalized_odds_difference,theil_index,0.7,0.0,0.0,0.21,,0.382,True
0.005,0.25,equalized_odds_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.375,True
0.005,0.25,equalized_odds_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.395,True
0.005,0.25,equalized_odds_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.384,True
0.005,0.25,equal_opportunity_difference,theil_index,0.7,0.0,0.0,0.21,,0.292,True
0.005,0.25,equal_opportunity_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.289,True
0.005,0.25,equal_opportunity_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.285,True
0.005,0.25,equal_opportunity_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.291,True
0.005,0.25,disparate_impact_difference,theil_index,0.7,0.0,0.0,0.21,,0.222,True
0.005,0.25,disparate_impact_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.23,True
0.005,0.25,disparate_impact_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.225,True
0.005,0.25,disparate_impact_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.233,True
0.005,0.5,demographic_parity_difference,theil_index,0.7,0.0,0.0,0.21,,0.231,True
0.005,0.5,demographic_parity_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.227,True
0.005,0.5,demographic_parity_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.224,True
0.005,0.5,demographic_parity_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.23,True
0.005,0.5,equalized_odds_difference,theil_index,0.7,0.0,0.0,0.21,,0.373,True
0.005,0.5,equalized_odds_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.382,True
0.005,0.5,equalized_odds_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.384,True
0.005,0.5,equalized_odds_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.388,True
0.005,0.5,equal_opportunity_difference,theil_index,0.7,0.0,0.0,0.21,,0.286,True
0.005,0.5,equal_opportunity_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.291,True
0.005,0.5,equal_opportunity_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.287,True
0.005,0.5,equal_opportunity_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.285,True
0.005,0.5,disparate_impact_difference,theil_index,0.7,0.0,0.0,0.21,,0.226,True
0.005,0.5,disparate_impact_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.231,True
0.005,0.5,disparate_impact_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.229,True
0.005,0.5,disparate_impact_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.226,True
0.005,0.75,demographic_parity_difference,theil_index,0.7,0.0,0.0,0.21,,0.225,True
0.005,0.75,demographic_parity_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.228,True
0.005,0.75,demographic_parity_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.225,True
0.005,0.75,demographic_parity_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.232,True
0.005,0.75,equalized_odds_difference,theil_index,0.7,0.0,0.0,0.21,,0.377,True
0.005,0.75,equalized_odds_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.382,True
0.005,0.75,equalized_odds_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.381,True
0.005,0.75,equalized_odds_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.38,True
0.005,0.75,equal_opportunity_difference,theil_index,0.7,0.0,0.0,0.21,,0.284,True
0.005,0.75,equal_opportunity_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.288,True
0.005,0.75,equal_opportunity_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.286,True
0.005,0.75,equal_opportunity_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.293,True
0.005,0.75,disparate_impact_difference,theil_index,0.7,0.0,0.0,0.21,,0.23,True
0.005,0.75,disparate_impact_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.226,True
0.005,0.75,disparate_impact_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.224,True
0.005,0.75,disparate_impact_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.226,True
0.005,1.0,demographic_parity_difference,theil_index,0.7,0.0,0.0,0.21,,0.23,True
0.005,1.0,demographic_parity_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.229,True
0.005,1.0,demographic_parity_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.229,True
0.005,1.0,demographic_parity_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.229,True
0.005,1.0,equalized_odds_difference,theil_index,0.7,0.0,0.0,0.21,,0.407,True
0.005,1.0,equalized_odds_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.394,True
0.005,1.0,equalized_odds_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.379,True
0.005,1.0,equalized_odds_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.377,True
0.005,1.0,equal_opportunity_difference,theil_index,0.7,0.0,0.0,0.21,,0.288,True
0.005,1.0,equal_opportunity_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.292,True
0.005,1.0,equal_opportunity_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.283,True
0.005,1.0,equal_opportunity_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.289,True
0.005,1.0,disparate_impact_difference,theil_index,0.7,0.0,0.0,0.21,,0.227,True
0.005,1.0,disparate_impact_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.228,True
0.005,1.0,disparate_impact_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.228,True
0.005,1.0,disparate_impact_difference,gini_coefficient,0.7,0.0,0.0,0.21,,0.231,True
