Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
MLP (64-64),mlp,0.25,0.005,2,0.8197,0.0359,0.0359,0.054,0.1014,0.8475,0.0303,0.0607,0.8145,0.0348,0.1493,0.426,True
MLP (64-64),mlp,0.25,0.05,2,0.8187,0.011,0.011,0.0015,0.1024,0.8505,0.0042,0.0616,0.8128,0.0098,0.1483,0.619,True
MLP (64-64),mlp,0.25,0.25,2,0.8197,0.0171,0.0171,0.0136,0.1033,0.8622,0.0051,0.0619,0.8183,0.0208,0.1352,0.476,True
MLP (64-64),mlp,0.25,0.5,2,0.8207,0.0183,0.0183,0.0099,0.103,0.8642,0.0054,0.0631,0.8183,0.0251,0.1338,0.498,True
MLP (64-64),mlp,0.25,0.75,2,0.8238,0.0244,0.0244,0.0232,0.1018,0.8703,0.0041,0.0656,0.8175,0.0266,0.1243,0.364,True
MLP (64-64),mlp,0.25,1.0,2,0.815,0.0215,0.0215,0.0194,0.1079,0.8762,0.0032,0.0676,0.814,0.0157,0.1212,0.254,True
MLP (64-64),mlp,0.5,0.0,2,0.821,0.0313,0.0313,0.0325,0.102,0.8582,0.0398,0.0641,0.817,0.0429,0.1388,0.442,True
MLP (64-64),mlp,0.5,0.005,2,0.8197,0.0282,0.0282,0.0262,0.1035,0.8638,0.0346,0.0648,0.8178,0.0399,0.1317,0.444,True
MLP (64-64),mlp,0.5,0.05,2,0.8182,0.0121,0.0121,0.0158,0.1044,0.8633,0.0126,0.0646,0.816,0.0194,0.1352,0.44,True
MLP (64-64),mlp,0.5,0.25,2,0.8197,0.0105,0.0105,0.0044,0.1038,0.8662,0.0023,0.0645,0.8133,0.0155,0.1328,0.538,True
MLP (64-64),mlp,0.5,0.5,2,0.8183,0.0117,0.0117,0.0085,0.1055,0.8732,0.0057,0.0658,0.8155,0.0138,0.121,0.587,True
MLP (64-64),mlp,0.5,0.75,2,0.821,0.0132,0.0132,0.0049,0.1038,0.8728,0.0036,0.0653,0.8175,0.0179,0.1207,0.551,True
MLP (64-64),mlp,0.5,1.0,2,0.8187,0.0102,0.0102,0.0147,0.1058,0.8782,0.004,0.0665,0.8167,0.0167,0.1175,0.574,True
MLP (64-64),mlp,0.75,0.0,2,0.821,0.034,0.034,0.038,0.1033,0.8682,0.0373,0.0664,0.8178,0.0421,0.129,0.477,True
MLP (64-64),mlp,0.75,0.005,2,0.8217,0.0351,0.0351,0.0437,0.1027,0.8672,0.0369,0.0665,0.8175,0.0397,0.1283,0.464,True
MLP (64-64),mlp,0.75,0.05,2,0.8213,0.0266,0.0266,0.0345,0.1032,0.8692,0.0267,0.0657,0.8173,0.0347,0.1288,0.415,True
MLP (64-64),mlp,0.75,0.25,2,0.8193,0.0071,0.0071,0.0181,0.1048,0.8725,0.0035,0.0665,0.815,0.0082,0.1218,0.447,True
MLP (64-64),mlp,0.75,0.5,2,0.8195,0.006,0.006,0.0208,0.1054,0.879,0.0038,0.0675,0.8163,0.0161,0.1162,0.428,True
MLP (64-64),mlp,0.75,0.75,2,0.8187,0.0082,0.0082,0.0217,0.106,0.8795,0.0059,0.0667,0.8158,0.0141,0.114,0.574,True
MLP (64-64),mlp,0.75,1.0,2,0.8212,0.013,0.013,0.0059,0.1033,0.8693,0.0057,0.065,0.8162,0.0212,0.1263,0.497,True
MLP (64-64),mlp,1.0,0.0,2,0.8208,0.0282,0.0282,0.0318,0.1039,0.8727,0.0349,0.0668,0.816,0.0374,0.1212,0.495,True
MLP (64-64),mlp,1.0,0.005,2,0.8208,0.0282,0.0282,0.0318,0.1039,0.8727,0.0349,0.0668,0.816,0.0374,0.1212,0.49,True
MLP (64-64),mlp,1.0,0.05,2,0.8208,0.0282,0.0282,0.0318,0.1039,0.8727,0.0349,0.0668,0.816,0.0374,0.1212,0.488,True
MLP (64-64),mlp,1.0,0.25,2,0.8208,0.0282,0.0282,0.0318,0.1039,0.8727,0.0349,0.0668,0.816,0.0374,0.1212,0.484,True
MLP (64-64),mlp,1.0,0.5,2,0.8208,0.0282,0.0282,0.0318,0.1039,0.8727,0.0349,0.0668,0.816,0.0374,0.1212,0.488,True
MLP (64-64),mlp,1.0,0.75,2,0.8208,0.0282,0.0282,0.0318,0.1039,0.8727,0.0349,0.0668,0.816,0.0374,0.1212,0.493,True
MLP (64-64),mlp,1.0,1.0,2,0.8208,0.0282,0.0282,0.0318,0.1039,0.8727,0.0349,0.0668,0.816,0.0374,0.1212,0.502,True
