Model,Arch,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
MLP (64-64),mlp,0.05,0.5,0.4297,0.0,0.0,0.0,0.0497,0.0,0.4421,0.0,1.0,0.001,False
MLP (64-64),mlp,0.05,0.75,0.4297,0.0,0.0,0.0,0.0497,0.0,0.4421,0.0,1.0,0.001,False
MLP (64-64),mlp,0.05,1.0,0.5696,0.0014,0.0014,0.0028,0.3777,0.9993,0.5579,0.0,0.0,0.001,False
MLP (64-64),mlp,0.25,0.0,0.8822,0.4667,0.1211,0.5,0.045,0.4733,0.9092,0.1298,0.5177,0.001,False
MLP (64-64),mlp,0.25,0.005,0.8801,0.4667,0.1249,0.5,0.0467,0.4782,0.9092,0.1279,0.5149,0.001,False
MLP (64-64),mlp,0.25,0.05,0.8801,0.4667,0.1241,0.5,0.0467,0.4782,0.9071,0.1225,0.5142,0.001,False
MLP (64-64),mlp,0.25,0.25,0.869,0.4667,0.0968,0.5,0.059,0.5253,0.8857,0.1041,0.4622,0.001,False
MLP (64-64),mlp,0.25,0.5,0.8545,0.4667,0.0539,0.5,0.0646,0.5191,0.8829,0.07,0.4705,0.001,False
MLP (64-64),mlp,0.25,0.75,0.8489,0.4667,0.0703,0.5,0.0662,0.5135,0.8732,0.0798,0.4733,0.001,False
MLP (64-64),mlp,0.25,1.0,0.8274,0.2878,0.1352,1.0,0.0901,0.5932,0.8351,0.136,0.3881,0.001,False
MLP (64-64),mlp,0.5,0.0,0.8794,0.4667,0.1275,0.5,0.0473,0.4802,0.9092,0.1279,0.5149,0.001,False
MLP (64-64),mlp,0.5,0.005,0.8836,0.4667,0.1255,0.5,0.0456,0.4802,0.9085,0.13,0.5142,0.001,False
MLP (64-64),mlp,0.5,0.05,0.8808,0.4667,0.1241,0.5,0.0467,0.4802,0.9099,0.1279,0.5156,0.001,False
MLP (64-64),mlp,0.5,0.25,0.8801,0.4667,0.1177,0.5,0.048,0.4865,0.9064,0.1093,0.4997,0.001,False
MLP (64-64),mlp,0.5,0.5,0.869,0.4667,0.0862,0.5,0.0588,0.5239,0.8857,0.1069,0.4636,0.001,False
MLP (64-64),mlp,0.5,0.75,0.8676,0.4667,0.0731,0.5,0.0579,0.5142,0.8919,0.0723,0.474,0.001,False
MLP (64-64),mlp,0.5,1.0,0.8586,0.4667,0.1051,0.5,0.0659,0.5385,0.8725,0.0977,0.4491,0.001,False
MLP (64-64),mlp,0.75,0.0,0.8829,0.4667,0.1282,0.5,0.0455,0.4782,0.9092,0.1341,0.5163,0.001,False
MLP (64-64),mlp,0.75,0.005,0.8829,0.4667,0.1282,0.5,0.0455,0.4782,0.9092,0.1341,0.5163,0.001,False
MLP (64-64),mlp,0.75,0.05,0.8829,0.4667,0.1276,0.5,0.0453,0.4768,0.9099,0.1327,0.5156,0.001,False
MLP (64-64),mlp,0.75,0.25,0.8815,0.4667,0.1241,0.5,0.0461,0.4782,0.9099,0.1265,0.5156,0.001,False
MLP (64-64),mlp,0.75,0.5,0.8822,0.8,0.1202,1.0,0.0455,0.4761,0.9071,0.126,0.5156,0.001,False
MLP (64-64),mlp,0.75,0.75,0.8787,0.4667,0.1159,0.5,0.0504,0.4976,0.9009,0.1071,0.4872,0.001,False
MLP (64-64),mlp,0.75,1.0,0.8815,0.4667,0.1213,0.5,0.0496,0.5003,0.8967,0.1228,0.4802,0.001,False
MLP (64-64),mlp,1.0,0.0,0.8829,0.4667,0.1276,0.5,0.0453,0.4768,0.9106,0.1306,0.5163,0.001,False
MLP (64-64),mlp,1.0,0.005,0.8829,0.4667,0.1276,0.5,0.0453,0.4768,0.9106,0.1306,0.5163,0.001,False
MLP (64-64),mlp,1.0,0.05,0.8829,0.4667,0.1276,0.5,0.0453,0.4768,0.9106,0.1306,0.5163,0.001,False
MLP (64-64),mlp,1.0,0.25,0.8829,0.4667,0.1276,0.5,0.0453,0.4768,0.9106,0.1306,0.5163,0.001,False
MLP (64-64),mlp,1.0,0.5,0.8829,0.4667,0.1276,0.5,0.0453,0.4768,0.9106,0.1306,0.5163,0.001,False
MLP (64-64),mlp,1.0,0.75,0.8829,0.4667,0.1276,0.5,0.0453,0.4768,0.9106,0.1306,0.5163,0.001,False
MLP (64-64),mlp,1.0,1.0,0.8829,0.4667,0.1276,0.5,0.0453,0.4768,0.9106,0.1306,0.5163,0.001,False
