Model,Arch,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
MLP (64-64),mlp,0.5,0.75,0.73,0.005,0.005,0.0136,0.1821,0.925,0.665,0.0248,0.095,0.001,False
MLP (64-64),mlp,0.5,1.0,0.725,0.0228,0.0228,0.049,0.1868,0.93,0.66,0.0175,0.09,0.001,False
MLP (64-64),mlp,0.75,0.0,0.735,0.0238,0.0238,0.0448,0.1764,0.91,0.665,0.023,0.125,0.001,False
MLP (64-64),mlp,0.75,0.005,0.735,0.0238,0.0238,0.0448,0.1764,0.91,0.67,0.0074,0.12,0.0,False
MLP (64-64),mlp,0.75,0.05,0.735,0.0238,0.0238,0.0448,0.1764,0.91,0.675,0.0,0.125,0.001,False
MLP (64-64),mlp,0.75,0.25,0.73,0.006,0.006,0.014,0.181,0.915,0.66,0.0239,0.11,0.001,False
MLP (64-64),mlp,0.75,0.5,0.725,0.0129,0.0129,0.0121,0.1856,0.92,0.655,0.0395,0.105,0.001,False
MLP (64-64),mlp,0.75,0.75,0.73,0.005,0.005,0.0136,0.1821,0.925,0.67,0.0175,0.09,0.001,False
MLP (64-64),mlp,0.75,1.0,0.735,0.0089,0.0089,0.049,0.1792,0.94,0.67,0.011,0.07,0.001,False
MLP (64-64),mlp,1.0,0.0,0.725,0.0129,0.0129,0.0121,0.1856,0.92,0.655,0.0248,0.095,0.001,False
MLP (64-64),mlp,1.0,0.005,0.725,0.0129,0.0129,0.0121,0.1856,0.92,0.655,0.0248,0.095,0.001,False
MLP (64-64),mlp,1.0,0.05,0.725,0.0129,0.0129,0.0121,0.1856,0.92,0.655,0.0248,0.095,0.0,False
MLP (64-64),mlp,1.0,0.25,0.725,0.0129,0.0129,0.0121,0.1856,0.92,0.655,0.0248,0.095,0.0,False
MLP (64-64),mlp,1.0,0.5,0.725,0.0129,0.0129,0.0121,0.1856,0.92,0.655,0.0248,0.095,0.001,False
MLP (64-64),mlp,1.0,0.75,0.725,0.0129,0.0129,0.0121,0.1856,0.92,0.655,0.0248,0.095,0.0,False
MLP (64-64),mlp,1.0,1.0,0.725,0.0129,0.0129,0.0121,0.1856,0.92,0.655,0.0248,0.095,0.0,False
