Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
MLP (64-64),mlp,0.005,0.25,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0012,0.0467,0.3747,0.0,1.0,1.156,True
MLP (64-64),mlp,0.005,0.5,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.001,0.047,0.3747,0.0,1.0,0.803,True
MLP (64-64),mlp,0.005,0.75,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0004,0.0515,0.3747,0.0,1.0,0.962,True
MLP (64-64),mlp,0.005,1.0,7,0.634,0.0,0.0,0.0,0.2886,,0.0,0.1118,0.6253,0.0,0.0,2.971,True
MLP (64-64),mlp,0.05,0.0,7,0.562,0.1961,0.1961,0.2352,0.0766,0.2524,0.1176,0.055,0.5597,0.1976,0.762,3.14,True
MLP (64-64),mlp,0.05,0.005,7,0.5562,0.099,0.099,0.0927,0.0764,0.247,0.0689,0.0552,0.5564,0.1145,0.7661,2.777,True
MLP (64-64),mlp,0.05,0.05,7,0.5463,0.0632,0.0632,0.111,0.0755,0.2359,0.0135,0.0561,0.544,0.0497,0.7771,3.45,True
MLP (64-64),mlp,0.05,0.25,7,0.5141,0.0314,0.0314,0.0928,0.0717,0.1979,0.0123,0.0578,0.515,0.0016,0.8131,1.552,True
MLP (64-64),mlp,0.05,0.5,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0032,0.0677,0.3747,0.0,1.0,0.786,True
MLP (64-64),mlp,0.05,0.75,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0001,0.0847,0.3747,0.0,1.0,0.667,True
MLP (64-64),mlp,0.05,1.0,7,0.634,0.0,0.0,0.0,0.2886,,0.0002,0.1087,0.6253,0.0,0.0,0.896,True
MLP (64-64),mlp,0.25,0.0,7,0.721,0.2567,0.2567,0.227,0.1399,0.6356,0.1515,0.0759,0.723,0.2936,0.3707,2.15,True
MLP (64-64),mlp,0.25,0.005,7,0.7201,0.2063,0.2063,0.1614,0.1402,0.6349,0.1229,0.0757,0.7169,0.2578,0.3742,2.101,True
MLP (64-64),mlp,0.25,0.05,7,0.7148,0.0413,0.0413,0.1064,0.14,0.6248,0.0061,0.0756,0.7115,0.003,0.385,2.468,True
MLP (64-64),mlp,0.25,0.25,7,0.7204,0.0605,0.0605,0.1229,0.1562,0.694,0.0147,0.0814,0.7232,0.0142,0.3133,1.691,True
MLP (64-64),mlp,0.25,0.5,7,0.7222,0.0447,0.0447,0.1073,0.1607,0.7156,0.016,0.0842,0.7269,0.0364,0.292,1.81,True
MLP (64-64),mlp,0.25,0.75,7,0.7194,0.0185,0.0185,0.0763,0.1728,0.758,0.0137,0.088,0.7178,0.0436,0.2497,1.395,True
MLP (64-64),mlp,0.25,1.0,7,0.634,0.0,0.0,0.0,0.2886,,0.0035,0.1176,0.6253,0.0,0.0,0.514,True
MLP (64-64),mlp,0.5,0.0,7,0.7338,0.2587,0.2587,0.2008,0.1514,0.7052,0.1497,0.0828,0.7342,0.3037,0.2989,2.151,True
MLP (64-64),mlp,0.5,0.005,7,0.7353,0.2471,0.2471,0.1962,0.1512,0.7083,0.1429,0.083,0.7327,0.2761,0.295,2.243,True
MLP (64-64),mlp,0.5,0.05,7,0.7295,0.075,0.075,0.0224,0.1522,0.6987,0.0579,0.0825,0.729,0.1175,0.3075,1.66,True
MLP (64-64),mlp,0.5,0.25,7,0.7286,0.0436,0.0436,0.1193,0.1559,0.7114,0.0118,0.0845,0.7285,0.012,0.3008,1.49,True
MLP (64-64),mlp,0.5,0.5,7,0.7328,0.0338,0.0338,0.105,0.1611,0.7442,0.0149,0.0871,0.7298,0.0294,0.2593,1.783,True
