Alpha,Beta,Group Fairness,Individual Fairness,Accuracy,Demographic Parity Difference,Equalized Odds Difference,Theil Index,Gini Coefficient,Train Time (s),Trained This Run
0.0,0.75,equal_opportunity_difference,gini_coefficient,0.32,0.55,0.79,0.24,0.41,0.809,True
0.0,0.75,disparate_impact_difference,theil_index,0.67,0.87,1.0,0.19,0.64,0.55,True
0.0,0.75,disparate_impact_difference,generalized_entropy_index,0.19,0.47,1.0,0.35,0.5,0.556,True
0.0,0.75,disparate_impact_difference,atkinson_index,0.47,0.93,1.0,0.12,0.25,0.547,True
0.0,0.75,disparate_impact_difference,gini_coefficient,0.37,0.47,1.0,0.25,0.45,0.551,True
0.0,1.0,demographic_parity_difference,theil_index,0.63,0.2,1.0,0.28,0.88,0.555,True
0.0,1.0,demographic_parity_difference,generalized_entropy_index,0.47,0.85,0.93,0.11,0.2,0.555,True
0.0,1.0,demographic_parity_difference,atkinson_index,0.65,0.6,1.0,0.24,0.77,0.546,True
0.0,1.0,demographic_parity_difference,gini_coefficient,0.42,0.33,1.0,0.11,0.18,0.555,True
0.0,1.0,equalized_odds_difference,theil_index,0.35,0.72,1.0,0.39,0.67,1.212,True
0.0,1.0,equalized_odds_difference,generalized_entropy_index,0.69,0.85,0.97,0.17,0.62,1.2,True
0.0,1.0,equalized_odds_difference,atkinson_index,0.48,0.67,1.0,0.39,0.79,1.192,True
0.0,1.0,equalized_odds_difference,gini_coefficient,0.43,0.2,0.25,0.08,0.1,1.194,True
0.0,1.0,equal_opportunity_difference,theil_index,0.68,0.36,1.0,0.22,0.78,0.844,True
0.0,1.0,equal_opportunity_difference,generalized_entropy_index,0.76,0.88,1.0,0.1,0.5,0.835,True
0.0,1.0,equal_opportunity_difference,atkinson_index,0.29,0.4,1.0,0.17,0.24,0.846,True
0.0,1.0,equal_opportunity_difference,gini_coefficient,0.69,0.38,0.67,0.2,0.71,0.846,True
0.0,1.0,disparate_impact_difference,theil_index,0.73,0.8,1.0,0.15,0.62,0.572,True
0.0,1.0,disparate_impact_difference,generalized_entropy_index,0.25,0.35,1.0,0.43,0.64,0.574,True
0.0,1.0,disparate_impact_difference,atkinson_index,0.43,0.82,1.0,0.26,0.54,0.569,True
0.0,1.0,disparate_impact_difference,gini_coefficient,0.77,0.65,0.84,0.1,0.5,0.676,True
0.005,0.0,demographic_parity_difference,theil_index,0.82,0.26,1.0,0.1,0.64,0.599,True
0.005,0.0,demographic_parity_difference,generalized_entropy_index,0.79,0.22,1.0,0.13,0.69,0.586,True
0.005,0.0,demographic_parity_difference,atkinson_index,0.76,0.23,1.0,0.15,0.73,0.605,True
0.005,0.0,demographic_parity_difference,gini_coefficient,0.82,0.27,1.0,0.1,0.64,0.569,True
0.005,0.0,equalized_odds_difference,theil_index,0.77,0.23,1.0,0.14,0.73,1.194,True
0.005,0.0,equalized_odds_difference,generalized_entropy_index,0.78,0.21,1.0,0.13,0.7,1.202,True
0.005,0.0,equalized_odds_difference,atkinson_index,0.83,0.28,1.0,0.09,0.62,1.18,True
0.005,0.0,equalized_odds_difference,gini_coefficient,0.77,0.38,0.66,0.14,0.72,1.182,True
0.005,0.0,equal_opportunity_difference,theil_index,0.77,0.22,1.0,0.14,0.72,0.807,True
0.005,0.0,equal_opportunity_difference,generalized_entropy_index,0.8,0.24,1.0,0.12,0.66,1.331,True
0.005,0.0,equal_opportunity_difference,atkinson_index,0.77,0.25,1.0,0.14,0.72,2.306,True
0.005,0.0,equal_opportunity_difference,gini_coefficient,0.82,0.27,1.0,0.1,0.63,0.887,True
0.005,0.0,disparate_impact_difference,theil_index,0.77,0.23,1.0,0.15,0.73,0.559,True
0.005,0.0,disparate_impact_difference,generalized_entropy_index,0.8,0.24,1.0,0.12,0.67,0.55,True
0.005,0.0,disparate_impact_difference,atkinson_index,0.76,0.37,0.64,0.15,0.73,0.529,True
0.005,0.0,disparate_impact_difference,gini_coefficient,0.78,0.21,1.0,0.13,0.69,0.54,True
0.005,0.005,demographic_parity_difference,theil_index,0.83,0.28,1.0,0.1,0.62,0.54,True
0.005,0.005,demographic_parity_difference,generalized_entropy_index,0.83,0.29,1.0,0.09,0.61,0.544,True
0.005,0.005,demographic_parity_difference,atkinson_index,0.8,0.24,1.0,0.11,0.66,0.542,True
0.005,0.005,demographic_parity_difference,gini_coefficient,0.81,0.26,1.0,0.11,0.65,0.547,True
0.005,0.005,equalized_odds_difference,theil_index,0.74,0.33,0.58,0.17,0.77,1.18,True
0.005,0.005,equalized_odds_difference,generalized_entropy_index,0.79,0.22,1.0,0.13,0.69,1.177,True
0.005,0.005,equalized_odds_difference,atkinson_index,0.82,0.26,1.0,0.1,0.64,1.259,True
0.005,0.005,equalized_odds_difference,gini_coefficient,0.82,0.26,1.0,0.1,0.64,1.247,True
0.005,0.005,equal_opportunity_difference,theil_index,0.79,0.21,1.0,0.13,0.69,0.859,True
0.005,0.005,equal_opportunity_difference,generalized_entropy_index,0.8,0.24,1.0,0.12,0.66,0.851,True
0.005,0.005,equal_opportunity_difference,atkinson_index,0.83,0.29,1.0,0.09,0.61,0.839,True
0.005,0.005,equal_opportunity_difference,gini_coefficient,0.79,0.22,1.0,0.13,0.68,0.838,True
0.005,0.005,disparate_impact_difference,theil_index,0.82,0.27,1.0,0.1,0.63,0.566,True
0.005,0.005,disparate_impact_difference,generalized_entropy_index,0.73,0.33,0.57,0.18,0.77,0.581,True
0.005,0.005,disparate_impact_difference,atkinson_index,0.82,0.26,1.0,0.1,0.64,0.568,True
0.005,0.005,disparate_impact_difference,gini_coefficient,0.79,0.21,1.0,0.13,0.7,0.596,True
0.005,0.05,demographic_parity_difference,theil_index,0.79,0.22,1.0,0.13,0.69,0.574,True
0.005,0.05,demographic_parity_difference,generalized_entropy_index,0.82,0.28,1.0,0.1,0.63,0.585,True
0.005,0.05,demographic_parity_difference,atkinson_index,0.78,0.23,1.0,0.13,0.71,0.57,True
0.005,0.05,demographic_parity_difference,gini_coefficient,0.8,0.24,1.0,0.11,0.66,0.572,True
0.005,0.05,equalized_odds_difference,theil_index,0.79,0.22,1.0,0.12,0.68,1.229,True
0.005,0.05,equalized_odds_difference,generalized_entropy_index,0.8,0.23,1.0,0.12,0.67,1.222,True
0.005,0.05,equalized_odds_difference,atkinson_index,0.76,0.22,1.0,0.15,0.73,1.216,True
0.005,0.05,equalized_odds_difference,gini_coefficient,0.76,0.37,0.64,0.15,0.73,1.226,True
0.005,0.05,equal_opportunity_difference,theil_index,0.74,0.34,0.59,0.17,0.77,0.841,True
0.005,0.05,equal_opportunity_difference,generalized_entropy_index,0.83,0.29,1.0,0.09,0.61,0.84,True
0.005,0.05,equal_opportunity_difference,atkinson_index,0.8,0.25,1.0,0.11,0.66,0.856,True
0.005,0.05,equal_opportunity_difference,gini_coefficient,0.81,0.25,1.0,0.11,0.65,0.843,True
0.005,0.05,disparate_impact_difference,theil_index,0.83,0.29,1.0,0.09,0.61,0.569,True
0.005,0.05,disparate_impact_difference,generalized_entropy_index,0.8,0.24,1.0,0.12,0.66,0.578,True
0.005,0.05,disparate_impact_difference,atkinson_index,0.83,0.29,1.0,0.09,0.61,0.574,True
0.005,0.05,disparate_impact_difference,gini_coefficient,0.82,0.27,1.0,0.1,0.63,0.58,True
0.005,0.25,demographic_parity_difference,theil_index,0.83,0.29,1.0,0.09,0.61,0.574,True
0.005,0.25,demographic_parity_difference,generalized_entropy_index,0.83,0.28,1.0,0.09,0.62,0.572,True
0.005,0.25,demographic_parity_difference,atkinson_index,0.77,0.21,1.0,0.15,0.72,0.573,True
